ID,Country,Arrival,Departure,Type,Stay,Lon.50.,Lat.50.
9SK,DE,15/07/2013,02/08/2013,1,NA,12.3,54.3
9SK,DE,03/08/2013,03/08/2013,2,0,21.2,53.4
9SK,DE,04/08/2013,04/08/2013,2,0,22.9,53.3
9SK,DE,04/08/2013,04/08/2013,2,0,34.9,56.0
9SK,DE,05/08/2013,11/08/2013,2,6,39.9,56.3
9SK,DE,11/08/2013,22/08/2013,2,11,46.7,52.9
9SK,DE,23/08/2013,29/08/2013,2,7,55.9,54.1
9SK,DE,30/08/2013,14/03/2014,3,194,73.2,30.1
9SK,DE,14/03/2014,23/04/2014,3,40,71.2,25.3
9SK,DE,24/04/2014,29/04/2014,4,5,64.3,35.3
9SK,DE,29/04/2014,07/05/2014,4,7,56.2,26.9
9SK,DE,07/05/2014,07/05/2014,4,0,53.9,31.4
9SK,DE,08/05/2014,08/05/2014,4,0,51.0,33.3
9SK,DE,08/05/2014,08/05/2014,4,0,41.2,34.5
9SK,DE,09/05/2014,09/05/2014,4,0,40.0,32.8
9SK,DE,09/05/2014,09/05/2014,4,0,42.2,32.9
9SK,DE,10/05/2014,10/05/2014,4,0,38.1,34.9
9SK,DE,10/05/2014,16/05/2014,4,6,35.1,37.5
9SK,DE,16/05/2014,16/05/2014,4,0,30.0,39.8
9SK,DE,17/05/2014,17/05/2014,4,0,26.8,41.5
9SK,DE,17/05/2014,17/05/2014,4,0,24.7,43.7
9SK,DE,18/05/2014,18/05/2014,4,0,23.9,43.7
9SK,DE,18/05/2014,18/05/2014,4,0,21.9,40.5
9SK,DE,19/05/2014,19/05/2014,4,0,14.2,37.6
9SK,DE,19/05/2014,19/05/2014,4,0,13.2,51.4
9SK,DE,20/05/2014,09/06/2014,5,NA,12.3,54.3
9SG,DE,12/08/2013,12/08/2013,1,NA,12.3,54.3
9SG,DE,13/08/2013,13/08/2013,2,0,20.2,56.7
9SG,DE,13/08/2013,13/08/2013,2,0,28.7,56.5
9SG,DE,14/08/2013,14/08/2013,2,0,30.1,57.0
9SG,DE,14/08/2013,14/08/2013,2,0,33.8,56.5
9SG,DE,15/08/2013,15/08/2013,2,0,34.9,56.0
9SG,DE,15/08/2013,20/08/2013,2,4,39.3,54.2
9SG,DE,20/08/2013,20/08/2013,2,0,46.6,53.3
9SG,DE,21/08/2013,21/08/2013,2,0,51.0,52.0
9SG,DE,21/08/2013,21/08/2013,2,0,56.6,47.9
9SG,DE,22/08/2013,22/08/2013,2,0,65.3,42.2
9SG,DE,22/08/2013,12/04/2014,3,232,71.3,21.3
9SG,DE,12/04/2014,19/04/2014,4,7,68.5,29.4
9SG,DE,19/04/2014,27/04/2014,4,8,65.7,40.0
9SG,DE,28/04/2014,06/05/2014,4,8,59.4,40.9
9SG,DE,06/05/2014,06/05/2014,4,0,54.8,46.3
9SG,DE,07/05/2014,07/05/2014,4,0,52.9,47.9
9SG,DE,07/05/2014,07/05/2014,4,0,48.6,50.0
9SG,DE,08/05/2014,08/05/2014,4,0,46.7,50.2
9SG,DE,08/05/2014,08/05/2014,4,0,45.0,48.9
9SG,DE,09/05/2014,09/05/2014,4,0,43.5,48.1
9SG,DE,09/05/2014,09/05/2014,4,0,43.3,46.0
9SG,DE,10/05/2014,10/05/2014,4,0,42.2,45.1
9SG,DE,10/05/2014,10/05/2014,4,0,38.2,40.7
9SG,DE,11/05/2014,11/05/2014,4,0,35.0,39.4
9SG,DE,11/05/2014,15/05/2014,4,4,34.6,39.6
9SG,DE,15/05/2014,15/05/2014,4,0,26.7,30.0
9SG,DE,16/05/2014,16/05/2014,4,0,26.4,29.0
9SG,DE,16/05/2014,16/05/2014,4,0,27.9,29.2
9SG,DE,18/05/2014,18/05/2014,4,0,16.0,46.8
9SG,DE,18/05/2014,18/05/2014,4,0,16.5,51.2
9SG,DE,19/05/2014,23/05/2014,5,NA,12.3,54.3
9NT,DE,06/07/2013,28/07/2013,1,NA,12.3,54.3
9NT,DE,29/07/2013,29/07/2013,2,0,15.4,50.8
9NT,DE,29/07/2013,29/07/2013,2,0,24.0,48.2
9NT,DE,30/07/2013,08/08/2013,2,9,37.4,49.0
9NT,DE,09/08/2013,14/08/2013,2,6,48.9,49.9
9NT,DE,15/08/2013,15/08/2013,2,0,50.6,49.5
9NT,DE,15/08/2013,23/08/2013,2,8,58.2,44.2
9NT,DE,24/08/2013,02/09/2013,2,10,69.7,37.8
9NT,DE,03/09/2013,03/09/2013,2,0,71.2,32.0
9NT,DE,03/09/2013,22/03/2014,3,199,73.3,31.2
9NT,DE,23/03/2014,24/04/2014,3,33,69.1,22.5
9NT,DE,25/04/2014,11/05/2014,4,17,53.3,41.0
9NT,DE,12/05/2014,12/05/2014,4,0,27.5,46.3
9NT,DE,12/05/2014,17/05/2014,4,5,23.6,46.6
9NT,DE,18/05/2014,20/05/2014,5,NA,12.3,54.3
B741,CZE,04/06/2012,09/08/2012,1,NA,16.1,49.7
B741,CZE,09/08/2012,09/08/2012,2,0,22.6,47.5
B741,CZE,10/08/2012,10/08/2012,2,0,21.0,47.7
B741,CZE,10/08/2012,10/08/2012,2,0,25.1,50.2
B741,CZE,11/08/2012,11/08/2012,2,0,26.5,50.6
B741,CZE,11/08/2012,11/08/2012,2,0,26.8,48.9
B741,CZE,12/08/2012,12/08/2012,2,0,25.1,48.5
B741,CZE,12/08/2012,15/08/2012,2,2,29.7,50.4
B741,CZE,15/08/2012,15/08/2012,2,0,34.1,52.5
B741,CZE,16/08/2012,16/08/2012,2,0,36.4,52.7
B741,CZE,16/08/2012,16/08/2012,2,0,40.4,50.7
B741,CZE,17/08/2012,17/08/2012,2,0,38.2,50.6
B741,CZE,17/08/2012,17/08/2012,2,0,38.6,51.5
B741,CZE,18/08/2012,18/08/2012,2,0,37.7,51.8
B741,CZE,18/08/2012,18/08/2012,2,0,41.4,53.3
B741,CZE,19/08/2012,19/08/2012,2,0,41.9,53.5
B741,CZE,19/08/2012,19/08/2012,2,0,46.1,54.4
